Date;Hour;CustomerID;AccessID;StartAccess;EndAccess;DurationTime;MessageType;BenefitKey;AccessAttempts
01/10/2018;0;283787CF-0F50-4AD8-868B-266E7D97FE07;BDD4F108-6FF6-4E7E-AB62-F7AB29C1A86F;01/10/2018 00:01;01/10/2018 00:01;2;NULL;DF8DF94C-4A2F-48D1-9A46-BC4433346688GCOBQCNURR;1
01/10/2018;0;1028D3EC-4C42-4BC7-9FAE-0391F04A0339;B83B063A-53AC-4C4E-9F4B-016CA7139AC1;01/10/2018 00:18;01/10/2018 00:18;1;NULL;A6016B43-C486-43CB-8F3B-172357B309ADIMGPMUNAQK;1
01/10/2018;0;17DDC962-26FC-4C45-9094-92DFEF28D197;DB3202E7-62FF-46FF-AE3B-E787265324D2;01/10/2018 00:18;01/10/2018 00:18;0;NULL;NULL;1
01/10/2018;12;50483683-FF24-4AB4-A2AA-AE5F5E7D6845;F0F10377-C08D-4A93-80EC-49CB03891052;01/10/2018 12:53;01/10/2018 12:53;0;NULL;NULL;1
01/10/2018;13;2439711E-8581-47B2-A72A-DA18D2AD2B0E;EAB6700C-AC3C-486B-BA2B-856B2587ACD5;01/10/2018 13:41;01/10/2018 13:41;1;NULL;NULL;1
01/10/2018;13;27D7CA3A-6C8B-4C04-9373-5C3F841212F8;5B292E55-8420-415F-821D-9125D7E9437C;01/10/2018 13:20;01/10/2018 13:20;1;NULL;2CE82804-7993-43D0-8393-2812CE63E241UPEMGTWTOB;1
01/10/2018;13;B2F123DD-141F-4232-9A9E-809C5E3680E7;68B4C7CA-2DA4-42E8-AD53-A13BF8C381D3;01/10/2018 13:59;01/10/2018 13:59;2;NULL;7B6CFAAE-5A31-4273-A137-B694336994BDBCDOWODFIH;1
01/10/2018;13;3956FA1A-6BD3-4307-B4EA-11C54320F6D6;B6E6A9D4-5E13-4C07-A48F-BFFDD1508FC9;01/10/2018 13:29;01/10/2018 13:29;1;NULL;BB0615DA-FC5E-465C-864D-C013100B9FC8CBMNAFKKWO;1
01/10/2018;13;9BBED2C6-7A09-4B9A-8ADB-8BC5849737C4;7608F3F1-2E5A-43DB-852D-BB00E1DAE6D3;01/10/2018 13:08;01/10/2018 13:08;0;NULL;NULL;1
01/10/2018;13;0A6BB0E6-7359-4324-9D1A-1577C3582EE6;752220E5-171D-4951-BF2D-1F273574B6E9;01/10/2018 13:53;01/10/2018 13:53;1;NULL;NULL;1
01/10/2018;13;0E0BAC27-F59A-4C6F-BF23-02F68936A3A4;BECE9025-CFA5-4010-98E9-35BF7C975AE4;01/10/2018 13:11;01/10/2018 13:11;2;NULL;36112A73-E7BF-4B74-BE2B-E7887D80C38FEDTKRUFVJI;1
01/10/2018;13;9798F096-0A2D-4AFB-B32A-23025F157397;E5F1A6E4-A1B1-4C8B-85A1-E164DABC5D54;01/10/2018 13:59;01/10/2018 13:59;0;NULL;NULL;1
01/10/2018;13;7D6008CA-FBC1-41EC-8B42-2EBD8256DD52;03E6BE80-A388-498C-9112-F97A8DC71ACE;01/10/2018 13:54;01/10/2018 13:54;0;NULL;NULL;1
01/10/2018;13;139F644F-522F-4773-A2A7-A81944B37F70;1648B5B3-D31C-4D66-9417-D4B4DA099E7D;01/10/2018 13:33;01/10/2018 13:33;3;NULL;9A52FF0C-4247-4DBB-80B6-90AD6B2A72BFCCJJFTUDOC;1
01/10/2018;13;F7D8867A-2AE3-44EA-A7F4-F8C7DAFE3C10;58BF427F-6FB5-41FE-A8EC-5DD0BF7F4A3F;01/10/2018 13:42;01/10/2018 13:42;1;NULL;56D199EC-CCC6-4955-BD95-EBCFAE766865MQUCTCELWA;1
01/10/2018;13;85AA804D-CD5D-49DD-A2F3-1196EDDA5A39;C15EAE4E-EB15-4ECC-B772-4051059F380A;01/10/2018 13:40;01/10/2018 13:40;0;NULL;NULL;1
01/10/2018;13;6666AD14-C2D7-4F87-BDEF-BE3C23F0B7C4;5AC194FE-B324-46AE-806E-2016F63798BC;01/10/2018 13:57;01/10/2018 13:57;0;NULL;NULL;1
01/10/2018;13;38672545-C257-46D1-9A7E-C954492F3482;152AE4B7-0DDB-49EB-8753-74ABF4CA08FA;01/10/2018 13:16;01/10/2018 13:16;2;NULL;8AB59720-E131-4BA4-8201-6ED7ACC68F04POFCLETOGJ;1
01/10/2018;13;74EF1D7A-DBF6-401C-9E3F-C0FA6354E5D5;006A1903-93B1-44CC-B64A-77D162CD9E35;01/10/2018 13:16;01/10/2018 13:16;0;NULL;NULL;1
01/10/2018;13;B499D4BA-7E86-4247-A955-5F2EBF9D3FBB;984F46C9-8751-4C33-9470-E7EE071DC0B6;01/10/2018 13:22;01/10/2018 13:22;0;NULL;NULL;1
01/10/2018;13;35B32F2F-B7D1-4B1C-8583-EFEDD0684660;D55E35A3-2903-4114-A6D4-5E90A285C6B6;01/10/2018 13:23;01/10/2018 13:23;2;NULL;37A0A26B-F131-4E39-9ACE-5B2C1D743FC7QKPANOPHDO;1
01/10/2018;14;5CE768A2-76ED-4E78-B506-B44E02D566CF;8B97B643-69DE-468B-A28A-A0366518E1F9;01/10/2018 14:28;01/10/2018 14:28;0;NULL;NULL;1
